Entity 1,Relationship,Entity2,Date,Sha,Change
GuidancePlease, relating to , our coding standards,2019-09-05 16:12:40,8431b80e482bd1daf90f59c94a1d1ecc0bd252d7,addition
Visual Studio, is in , Solutions Configuration drop-down menu select Release,2019-09-05 16:12:40,8431b80e482bd1daf90f59c94a1d1ecc0bd252d7,addition
PowerToys, is , nascent,2019-09-05 16:12:40,8431b80e482bd1daf90f59c94a1d1ecc0bd252d7,addition
GuidancePlease, relating to , our standards etc.,2019-09-05 16:12:40,8431b80e482bd1daf90f59c94a1d1ecc0bd252d7,addition
GuidancePlease, relating to , our standards,2019-09-05 16:12:40,8431b80e482bd1daf90f59c94a1d1ecc0bd252d7,addition
GuidancePlease, relating to , our coding standards etc.,2019-09-05 16:12:40,8431b80e482bd1daf90f59c94a1d1ecc0bd252d7,addition
Chris Davis, integrate , his SmartRename tool,2019-10-11 18:28:52,eb1ef65fac417d0111b8e7ec90356fa5e2eb6fd9,addition
Chris Davis, integrate , his SmartRename tool into PowerToys,2019-10-11 18:28:52,eb1ef65fac417d0111b8e7ec90356fa5e2eb6fd9,addition
Chris Davis, integrate , his,2019-10-23 16:03:16,70f40e207a45fbf8a6d8cee7dffa6b2db97a5342,addition
Chris Davis, integrate , his,2019-10-23 16:03:16,70f40e207a45fbf8a6d8cee7dffa6b2db97a5342,deletion
Chris Davis, integrate , his SmartRename tool into PowerToys,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
PowerRename, allows , search,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
Visual Studio, is in , Solutions Configuration drop-down menu select Release,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
PowerRename, perform , rename,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
Chris Davis, integrate , his SmartRename tool,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
PowerRename, allows , simple search,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
Chris Davis, contributed , his,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
PowerRename, calls into , Windows Explorer file operations engine,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
###, Building , Code,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,addition
Visual Studio, is in , Solutions Configuration drop-down menu select Release,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,deletion
Chris Davis, integrate , his SmartRename tool,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,deletion
Chris Davis, integrate , his SmartRename tool into PowerToys,2019-10-29 11:12:47,8e55f2bf581c9737cfb5563212a28ce5dff96d7d,deletion
Chris Davis, integrate , his,2019-10-29 17:10:01,52ead7ad1b474a15e58e078cbd9d68ad9f6de2a6,deletion
PowerRename, allows , search,2020-03-03 19:14:30,02c08c942d58271f9b7260b0f1be507be9182984,addition
